season_year,race_number,race_name,track_name,race_date,cautions_number,green_flag_percent,average_green_flag_run_laps,number_of_leaders,average_leading_run_laps,most_laps_led,most_laps_led_driver,most_laps_led_percent
2024,34,Straight Talk Wireless 400,Homestead-Miami Speedway,2024-10-27,6,0.8876404494382022,33.857142857142854,11,7.852941176470588,97,Tyler Reddick,0.3632958801498127
2024,35,XFINITY 500,Martinsville Speedway,2024-11-03,9,0.868,43.4,7,31.25,170,Brad Keselowski,0.34
2024,36,Cup Series Championship,Phoenix Raceway,2024-11-10,4,0.8942307692307693,55.8,9,18.352941176470587,143,Christopher Bell,0.4583333333333333
2025,1,Daytona 500,Daytona International Speedway,2025-02-16,8,0.7661691542288557,17.11111111111111,15,3.543859649122807,59,Austin Cindric,0.292079207920792
2025,2,Ambetter Health 400,Atlanta Motor Speedway,2025-02-23,11,0.7631578947368421,18.454545454545453,15,5.32,83,Joey Logano,0.3120300751879699
2025,3,EchoPark Automotive Grand Prix,Circuit of the Americas,2025-03-02,4,0.8421052631578947,16.0,9,4.523809523809524,42,Kyle Busch,0.4421052631578947
2025,4,Shriners Childrens 500,Phoenix Raceway,2025-03-09,10,0.7660256410256411,21.727272727272727,6,18.352941176470587,105,Christopher Bell,0.3365384615384615
2025,5,Pennzoil 400,Las Vegas Motor Speedway,2025-03-16,9,0.8014981273408239,21.4,13,8.090909090909092,61,Kyle Larson,0.2284644194756554
2025,6,Straight Talk Wireless 400,Homestead-Miami Speedway,2025-03-23,4,0.898876404494382,48.0,9,9.535714285714286,124,Ryan Blaney,0.4644194756554307
2025,7,Cook Out 400,Martinsville Speedway,2025-03-30,10,0.785,28.545454545454547,6,40.0,274,Denny Hamlin,0.685
2025,8,Goodyear 400,Darlington Raceway,2025-04-06,8,0.8484848484848485,28.0,4,59.4,243,William Byron,0.8181818181818182
2025,9,Food City 500,Bristol Motor Speedway,2025-04-13,3,0.92,115.0,4,100.0,411,Kyle Larson,0.822
