driver_name,car_number,team_name,manufacturer,season_year,race_number,race_pos,quali_pos,stage_1_pos,stage_2_pos,stage_3_pos,laps_led,status,season_points,finish_position_points,stage_points,playoff_points
Aric Almirola,10,Stewart-Haas Racing,Ford,2023,25,30,27,0,0,0,0,running,7,7,0,0
Austin Dillon,3,Richard Childress Racing,Chevrolet,2023,25,31,16,0,10,0,0,running,7,6,1,0
Chase Elliott,9,Hendrick Motorsports,Chevrolet,2023,25,32,15,0,7,0,0,running,9,5,4,0
Harrison Burton,21,Wood Brothers Racing,Ford,2023,25,33,32,0,0,0,0,running,4,4,0,0
Ty Dillon,77,Spire Motorsports,Chevrolet,2023,25,34,36,0,0,0,0,running,3,3,0,0
Chase Briscoe,14,Stewart-Haas Racing,Ford,2023,25,35,26,0,0,0,0,running,2,2,0,0
Michael McDowell,34,Front Row Motorsports,Ford,2023,25,36,3,1,0,0,17,electrical,11,1,10,1
Chris Buescher,17,RFK Racing,Ford,2023,26,1,11,0,0,0,2,running,40,40,0,5
Brad Keselowski,6,RFK Racing,Ford,2023,26,2,12,0,1,0,6,running,45,35,10,1
Aric Almirola,10,Stewart-Haas Racing,Ford,2023,26,3,2,0,0,0,3,running,34,34,0,0
Chase Elliott,9,Hendrick Motorsports,Chevrolet,2023,26,4,23,0,7,0,2,running,37,33,4,0
Joey Logano,22,Team Penske,Ford,2023,26,5,14,5,10,0,9,running,39,32,7,0
Alex Bowman,48,Hendrick Motorsports,Chevrolet,2023,26,6,31,0,4,0,0,running,38,31,7,0
Kyle Busch,8,Richard Childress Racing,Chevrolet,2023,26,7,18,0,2,0,5,running,39,30,9,0
William Byron,24,Hendrick Motorsports,Chevrolet,2023,26,8,27,0,5,0,1,running,35,29,6,0
Kevin Harvick,4,Stewart-Haas Racing,Ford,2023,26,9,10,3,0,0,14,running,36,28,8,0
Corey LaJoie,7,Spire Motorsports,Chevrolet,2023,26,10,37,0,0,0,0,running,27,27,0,0
Ty Dillon,77,Spire Motorsports,Chevrolet,2023,26,11,30,0,0,0,0,running,26,26,0,0
Bubba Wallace,23,23XI Racing,Toyota,2023,26,12,4,6,0,0,0,running,30,25,5,0
Michael McDowell,34,Front Row Motorsports,Ford,2023,26,13,39,0,0,0,0,running,24,24,0,0
Austin Hill,62,Beard Motorsports,Chevrolet,2023,26,14,26,0,0,0,0,running,0,23,0,0
Chandler Smith,13,Kaulig Racing,Chevrolet,2023,26,15,36,0,0,0,0,running,0,22,0,0
Christopher Bell,20,Joe Gibbs Racing,Toyota,2023,26,16,15,2,0,0,0,running,30,21,9,0
Ross Chastain,1,Trackhouse Racing,Chevrolet,2023,26,17,25,0,9,0,19,running,22,20,2,0
Erik Jones,43,Legacy Motor Club,Chevrolet,2023,26,18,24,0,0,0,0,running,19,19,0,0
J.J. Yeley,51,Rick Ware Racing,Ford,2023,26,19,33,0,0,0,0,running,0,18,0,0
Daniel Suarez,99,Trackhouse Racing,Chevrolet,2023,26,20,22,10,3,0,1,running,26,17,9,0
Justin Haley,31,Kaulig Racing,Chevrolet,2023,26,21,28,0,0,0,0,running,16,16,0,0
Josh Berry,42,Legacy Motor Club,Chevrolet,2023,26,22,29,0,0,0,0,running,0,15,0,0
B.J. McLeod,78,Live Fast Motorsports,Chevrolet,2023,26,23,38,0,0,0,0,running,14,14,0,0
Martin Truex Jr,19,Joe Gibbs Racing,Toyota,2023,26,24,13,1,0,0,4,running,23,13,10,1
Tyler Reddick,45,23XI Racing,Toyota,2023,26,25,20,0,6,0,0,running,17,12,5,0
Denny Hamlin,11,Joe Gibbs Racing,Toyota,2023,26,26,19,8,0,0,12,running,14,11,3,0
Kyle Larson,5,Hendrick Motorsports,Chevrolet,2023,26,27,7,0,0,0,0,running,10,10,0,0
Harrison Burton,21,Wood Brothers Racing,Ford,2023,26,28,3,0,0,0,5,running,9,9,0,0
A.J. Allmendinger,16,Kaulig Racing,Chevrolet,2023,26,29,17,0,0,0,8,running,8,8,0,0
Chase Briscoe,14,Stewart-Haas Racing,Ford,2023,26,30,1,9,0,0,67,crash,9,7,2,0
Ryan Preece,41,Stewart-Haas Racing,Ford,2023,26,31,9,0,0,0,0,crash,6,6,0,0
Todd Gilliland,38,Front Row Motorsports,Ford,2023,26,32,35,0,0,0,0,overheating,5,5,0,0
Austin Dillon,3,Richard Childress Racing,Chevrolet,2023,26,33,21,0,8,0,0,crash,7,4,3,0
Ricky Stenhouse Jr,47,JTG Daugherty Racing,Chevrolet,2023,26,34,32,0,0,0,1,crash,3,3,0,0
Ty Gibbs,54,Joe Gibbs Racing,Toyota,2023,26,35,5,4,0,0,0,crash,9,2,7,0
Ryan Blaney,12,Team Penske,Ford,2023,26,36,8,0,0,0,4,crash,1,1,0,0
Austin Cindric,2,Team Penske,Ford,2023,26,37,16,7,0,0,0,crash,5,1,4,0
Riley Herbst,36,Front Row Motorsports,Ford,2023,26,38,6,0,0,0,0,crash,0,1,0,0
Brennan Poole,15,Rick Ware Racing,Ford,2023,26,39,34,0,0,0,0,crash,0,1,0,0
Kyle Larson,5,Hendrick Motorsports,Chevrolet,2023,27,1,18,3,2,0,55,running,57,40,17,5
Tyler Reddick,45,23XI Racing,Toyota,2023,27,2,3,2,4,0,90,running,51,35,16,0
Chris Buescher,17,RFK Racing,Ford,2023,27,3,8,9,0,0,0,running,36,34,2,0
William Byron,24,Hendrick Motorsports,Chevrolet,2023,27,4,23,0,5,0,0,running,39,33,6,0
Ross Chastain,1,Trackhouse Racing,Chevrolet,2023,27,5,27,0,0,0,0,running,32,32,0,0
Brad Keselowski,6,RFK Racing,Ford,2023,27,6,5,6,9,0,0,running,38,31,7,0
Bubba Wallace,23,23XI Racing,Toyota,2023,27,7,19,0,0,0,0,running,30,30,0,0
Chase Elliott,9,Hendrick Motorsports,Chevrolet,2023,27,8,13,7,0,0,0,running,33,29,4,0
Ryan Blaney,12,Team Penske,Ford,2023,27,9,4,5,7,0,0,running,38,28,10,0
Erik Jones,43,Legacy Motor Club,Chevrolet,2023,27,10,20,0,3,0,0,running,35,27,8,0
Kyle Busch,8,Richard Childress Racing,Chevrolet,2023,27,11,11,0,6,0,0,running,31,26,5,0
Joey Logano,22,Team Penske,Ford,2023,27,12,6,0,0,0,0,running,25,25,0,0
A.J. Allmendinger,16,Kaulig Racing,Chevrolet,2023,27,13,16,0,0,0,0,running,24,24,0,0
Aric Almirola,10,Stewart-Haas Racing,Ford,2023,27,14,10,10,0,0,0,running,24,23,1,0
Chase Briscoe,14,Stewart-Haas Racing,Ford,2023,27,15,12,0,0,0,0,running,22,22,0,0
Ricky Stenhouse Jr,47,JTG Daugherty Racing,Chevrolet,2023,27,16,25,0,10,0,0,running,22,21,1,0
Carson Hocevar,42,Legacy Motor Club,Chevrolet,2023,27,17,15,0,0,0,0,running,0,20,0,0
Martin Truex Jr,19,Joe Gibbs Racing,Toyota,2023,27,18,31,0,0,0,0,running,19,19,0,0
Kevin Harvick,4,Stewart-Haas Racing,Ford,2023,27,19,7,4,0,0,1,running,25,18,7,0
Austin Dillon,3,Richard Childress Racing,Chevrolet,2023,27,20,28,0,8,0,0,running,20,17,3,0
Ty Gibbs,54,Joe Gibbs Racing,Toyota,2023,27,21,17,0,0,0,0,running,16,16,0,0
Corey LaJoie,7,Spire Motorsports,Chevrolet,2023,27,22,22,0,0,0,3,running,15,15,0,0
Christopher Bell,20,Joe Gibbs Racing,Toyota,2023,27,23,1,8,0,0,40,running,17,14,3,0
Justin Haley,31,Kaulig Racing,Chevrolet,2023,27,24,29,0,0,0,0,running,13,13,0,0
Denny Hamlin,11,Joe Gibbs Racing,Toyota,2023,27,25,2,1,1,0,177,running,32,12,20,2
Todd Gilliland,38,Front Row Motorsports,Ford,2023,27,26,30,0,0,0,0,running,11,11,0,0
Ryan Newman,51,Rick Ware Racing,Ford,2023,27,27,35,0,0,0,0,running,10,10,0,0
Ryan Preece,41,Stewart-Haas Racing,Ford,2023,27,28,34,0,0,0,0,running,9,9,0,0
Ty Dillon,77,Spire Motorsports,Chevrolet,2023,27,29,26,0,0,0,0,running,8,8,0,0
J.J. Yeley,15,Rick Ware Racing,Ford,2023,27,30,33,0,0,0,1,running,0,7,0,0
Austin Cindric,2,Team Penske,Ford,2023,27,31,14,0,0,0,0,running,6,6,0,0
Michael McDowell,34,Front Row Motorsports,Ford,2023,27,32,9,0,0,0,0,crash,5,5,0,0
Alex Bowman,48,Hendrick Motorsports,Chevrolet,2023,27,33,24,0,0,0,0,crash,4,4,0,0
Daniel Suarez,99,Trackhouse Racing,Chevrolet,2023,27,34,21,0,0,0,0,crash,3,3,0,0
Harrison Burton,21,Wood Brothers Racing,Ford,2023,27,35,32,0,0,0,0,crash,2,2,0,0
B.J. McLeod,78,Live Fast Motorsports,Chevrolet,2023,27,36,36,0,0,0,0,engine,1,1,0,0
Tyler Reddick,45,23XI Racing,Toyota,2023,28,1,5,6,5,0,2,running,51,40,11,5
Denny Hamlin,11,Joe Gibbs Racing,Toyota,2023,28,2,14,7,2,0,63,running,48,35,13,0
Erik Jones,43,Legacy Motor Club,Chevrolet,2023,28,3,19,0,6,0,0,running,39,34,5,0
Kyle Larson,5,Hendrick Motorsports,Chevrolet,2023,28,4,2,1,0,0,99,running,43,33,10,1
Joey Logano,22,Team Penske,Ford,2023,28,5,11,0,8,0,0,running,35,32,3,0
Chase Elliott,9,Hendrick Motorsports,Chevrolet,2023,28,6,4,9,3,0,47,running,41,31,10,0
Kyle Busch,8,Richard Childress Racing,Chevrolet,2023,28,7,35,0,0,0,0,running,30,30,0,0
Christopher Bell,20,Joe Gibbs Racing,Toyota,2023,28,8,1,3,10,0,15,running,38,29,9,0
Brad Keselowski,6,RFK Racing,Ford,2023,28,9,12,8,1,0,23,running,41,28,13,1
Alex Bowman,48,Hendrick Motorsports,Chevrolet,2023,28,10,23,0,0,0,0,running,27,27,0,0
Kevin Harvick,4,Stewart-Haas Racing,Ford,2023,28,11,20,10,4,0,0,running,34,26,8,0
Ryan Blaney,12,Team Penske,Ford,2023,28,12,17,5,7,0,0,running,35,25,10,0
Ross Chastain,1,Trackhouse Racing,Chevrolet,2023,28,13,6,4,0,0,0,running,31,24,7,0
Ty Gibbs,54,Joe Gibbs Racing,Toyota,2023,28,14,36,0,0,0,0,running,23,23,0,0
William Byron,24,Hendrick Motorsports,Chevrolet,2023,28,15,9,0,0,0,0,running,22,22,0,0
Daniel Suarez,99,Trackhouse Racing,Chevrolet,2023,28,16,15,0,0,0,12,running,21,21,0,0
Aric Almirola,10,Stewart-Haas Racing,Ford,2023,28,17,25,0,0,0,3,running,20,20,0,0
Ryan Preece,41,Stewart-Haas Racing,Ford,2023,28,18,28,0,0,0,0,running,19,19,0,0
Chase Briscoe,14,Stewart-Haas Racing,Ford,2023,28,19,26,0,0,0,0,running,18,18,0,0
Carson Hocevar,42,Legacy Motor Club,Chevrolet,2023,28,20,21,0,0,0,0,running,0,17,0,0
Justin Haley,31,Kaulig Racing,Chevrolet,2023,28,21,30,0,0,0,0,running,16,16,0,0
Corey LaJoie,7,Spire Motorsports,Chevrolet,2023,28,22,24,0,0,0,0,running,15,15,0,0
Ricky Stenhouse Jr,47,JTG Daugherty Racing,Chevrolet,2023,28,23,16,0,0,0,0,running,14,14,0,0
Cole Custer,51,Rick Ware Racing,Ford,2023,28,24,27,0,0,0,0,running,0,13,0,0
Todd Gilliland,38,Front Row Motorsports,Ford,2023,28,25,32,0,0,0,0,running,12,12,0,0
Michael McDowell,34,Front Row Motorsports,Ford,2023,28,26,7,0,0,0,0,running,11,11,0,0
Chris Buescher,17,RFK Racing,Ford,2023,28,27,13,0,9,0,0,running,12,10,2,0
Ty Dillon,77,Spire Motorsports,Chevrolet,2023,28,28,33,0,0,0,0,running,9,9,0,0
Sheldon Creed,78,Live Fast Motorsports,Chevrolet,2023,28,29,34,0,0,0,0,running,0,8,0,0
A.J. Allmendinger,16,Kaulig Racing,Chevrolet,2023,28,30,22,0,0,0,0,running,7,7,0,0
Austin Cindric,2,Team Penske,Ford,2023,28,31,18,0,0,0,0,running,6,6,0,0
Bubba Wallace,23,23XI Racing,Toyota,2023,28,32,10,2,0,0,3,running,14,5,9,0
Austin Dillon,3,Richard Childress Racing,Chevrolet,2023,28,33,8,0,0,0,0,running,4,4,0,0
J.J. Yeley,15,Rick Ware Racing,Ford,2023,28,34,31,0,0,0,1,dvp,0,3,0,0
Harrison Burton,21,Wood Brothers Racing,Ford,2023,28,35,29,0,0,0,0,dvp,2,2,0,0
Martin Truex Jr,19,Joe Gibbs Racing,Toyota,2023,28,36,3,0,0,0,0,crash,1,1,0,0
Denny Hamlin,11,Joe Gibbs Racing,Toyota,2023,29,1,2,0,4,0,142,running,47,40,7,5
Kyle Larson,5,Hendrick Motorsports,Chevrolet,2023,29,2,36,8,3,0,20,running,46,35,11,0
Christopher Bell,20,Joe Gibbs Racing,Toyota,2023,29,3,1,1,1,0,187,running,54,34,20,2
Chris Buescher,17,RFK Racing,Ford,2023,29,4,20,0,7,0,1,running,37,33,4,0
Ty Gibbs,54,Joe Gibbs Racing,Toyota,2023,29,5,8,10,2,0,102,running,42,32,10,0
Michael McDowell,34,Front Row Motorsports,Ford,2023,29,6,4,0,6,0,0,running,36,31,5,0
Chase Elliott,9,Hendrick Motorsports,Chevrolet,2023,29,7,7,0,10,0,0,running,31,30,1,0
Brad Keselowski,6,RFK Racing,Ford,2023,29,8,6,7,0,0,0,running,33,29,4,0
William Byron,24,Hendrick Motorsports,Chevrolet,2023,29,9,3,4,8,0,0,running,38,28,10,0
Ricky Stenhouse Jr,47,JTG Daugherty Racing,Chevrolet,2023,29,10,25,0,0,0,0,running,27,27,0,0
Carson Hocevar,42,Legacy Motor Club,Chevrolet,2023,29,11,16,0,5,0,0,running,0,26,6,0
Ryan Preece,41,Stewart-Haas Racing,Ford,2023,29,12,17,0,9,0,0,running,27,25,2,0
Alex Bowman,48,Hendrick Motorsports,Chevrolet,2023,29,13,13,0,0,0,0,running,24,24,0,0
Bubba Wallace,23,23XI Racing,Toyota,2023,29,14,9,3,0,0,0,running,31,23,8,0
Tyler Reddick,45,23XI Racing,Toyota,2023,29,15,12,5,0,0,0,running,28,22,6,0
Todd Gilliland,38,Front Row Motorsports,Ford,2023,29,16,30,0,0,0,0,running,21,21,0,0
Austin Dillon,3,Richard Childress Racing,Chevrolet,2023,29,17,18,0,0,0,0,running,20,20,0,0
Aric Almirola,10,Stewart-Haas Racing,Ford,2023,29,18,26,0,0,0,0,running,19,19,0,0
Martin Truex Jr,19,Joe Gibbs Racing,Toyota,2023,29,19,5,9,0,0,0,running,20,18,2,0
Kyle Busch,8,Richard Childress Racing,Chevrolet,2023,29,20,15,0,0,0,0,running,17,17,0,0
Daniel Suarez,99,Trackhouse Racing,Chevrolet,2023,29,21,24,0,0,0,0,running,16,16,0,0
Ryan Blaney,12,Team Penske,Ford,2023,29,22,11,0,0,0,0,running,15,15,0,0
Ross Chastain,1,Trackhouse Racing,Chevrolet,2023,29,23,23,6,0,0,0,running,19,14,5,0
Erik Jones,43,Legacy Motor Club,Chevrolet,2023,29,24,31,0,0,0,0,running,13,13,0,0
Corey LaJoie,7,Spire Motorsports,Chevrolet,2023,29,25,10,2,0,0,48,running,21,12,9,0
J.J. Yeley,15,Rick Ware Racing,Ford,2023,29,26,35,0,0,0,0,running,0,11,0,0
Chase Briscoe,14,Stewart-Haas Racing,Ford,2023,29,27,14,0,0,0,0,running,10,10,0,0
Harrison Burton,21,Wood Brothers Racing,Ford,2023,29,28,32,0,0,0,0,running,9,9,0,0
Kevin Harvick,4,Stewart-Haas Racing,Ford,2023,29,29,21,0,0,0,0,running,8,8,0,0
A.J. Allmendinger,16,Kaulig Racing,Chevrolet,2023,29,30,22,0,0,0,0,running,7,7,0,0
B.J. McLeod,78,Live Fast Motorsports,Chevrolet,2023,29,31,34,0,0,0,0,running,0,6,0,0
Austin Cindric,2,Team Penske,Ford,2023,29,32,29,0,0,0,0,running,5,5,0,0
Ty Dillon,77,Spire Motorsports,Chevrolet,2023,29,33,33,0,0,0,0,crash,4,4,0,0
Joey Logano,22,Team Penske,Ford,2023,29,34,28,0,0,0,0,crash,3,3,0,0
Justin Haley,31,Kaulig Racing,Chevrolet,2023,29,35,19,0,0,0,0,crash,2,2,0,0
Ryan Newman,51,Rick Ware Racing,Ford,2023,29,36,27,0,0,0,0,crash,1,1,0,0
William Byron,24,Hendrick Motorsports,Chevrolet,2023,30,1,18,4,0,0,6,running,47,40,7,5
Ross Chastain,1,Trackhouse Racing,Chevrolet,2023,30,2,5,0,8,0,1,running,38,35,3,0
Bubba Wallace,23,23XI Racing,Toyota,2023,30,3,1,10,9,0,111,running,37,34,3,0
Christopher Bell,20,Joe Gibbs Racing,Toyota,2023,30,4,9,3,0,0,0,running,41,33,8,0
Denny Hamlin,11,Joe Gibbs Racing,Toyota,2023,30,5,10,9,3,0,0,running,42,32,10,0
Kevin Harvick,4,Stewart-Haas Racing,Ford,2023,30,6,22,0,0,0,0,running,31,31,0,0
Brad Keselowski,6,RFK Racing,Ford,2023,30,7,3,0,7,0,0,running,34,30,4,0
Daniel Suarez,99,Trackhouse Racing,Chevrolet,2023,30,8,8,0,10,0,0,running,30,29,1,0
Ricky Stenhouse Jr,47,JTG Daugherty Racing,Chevrolet,2023,30,9,24,0,0,0,0,running,28,28,0,0
Chase Briscoe,14,Stewart-Haas Racing,Ford,2023,30,10,31,8,0,0,0,running,30,27,3,0
Chase Elliott,9,Hendrick Motorsports,Chevrolet,2023,30,11,29,6,6,0,1,running,36,26,10,0
Alex Bowman,48,Hendrick Motorsports,Chevrolet,2023,30,12,14,0,0,0,1,running,25,25,0,0
Justin Haley,31,Kaulig Racing,Chevrolet,2023,30,13,28,0,0,0,0,running,24,24,0,0
Chris Buescher,17,RFK Racing,Ford,2023,30,14,2,2,5,0,2,running,38,23,15,0
Michael McDowell,34,Front Row Motorsports,Ford,2023,30,15,17,5,0,0,0,running,28,22,6,0
Carson Hocevar,42,Legacy Motor Club,Chevrolet,2023,30,16,19,0,0,0,0,running,0,21,0,0
Martin Truex Jr,19,Joe Gibbs Racing,Toyota,2023,30,17,16,0,0,0,0,running,20,20,0,0
Aric Almirola,10,Stewart-Haas Racing,Ford,2023,30,18,21,0,0,0,0,running,19,19,0,0
Ty Dillon,77,Spire Motorsports,Chevrolet,2023,30,19,26,0,0,0,3,running,18,18,0,0
Harrison Burton,21,Wood Brothers Racing,Ford,2023,30,20,30,0,0,0,0,running,17,17,0,0
Joey Logano,22,Team Penske,Ford,2023,30,21,20,0,0,0,0,running,16,16,0,0
B.J. McLeod,78,Live Fast Motorsports,Chevrolet,2023,30,22,34,0,0,0,0,running,0,15,0,0
Ryan Preece,41,Stewart-Haas Racing,Ford,2023,30,23,25,0,0,0,0,running,14,14,0,0
Zane Smith,38,Front Row Motorsports,Ford,2023,30,24,33,0,0,0,0,running,0,13,0,0
Tyler Reddick,45,23XI Racing,Toyota,2023,30,25,15,1,0,0,36,running,22,12,10,1
Corey LaJoie,7,Spire Motorsports,Chevrolet,2023,30,26,27,0,0,0,0,running,11,11,0,0
Austin Cindric,2,Team Penske,Ford,2023,30,27,32,0,0,0,1,crash,10,10,0,0
Ryan Blaney,12,Team Penske,Ford,2023,30,28,23,7,4,0,0,crash,20,9,11,0
A.J. Allmendinger,16,Kaulig Racing,Chevrolet,2023,30,29,6,0,0,0,1,crash,8,8,0,0
Erik Jones,43,Legacy Motor Club,Chevrolet,2023,30,30,12,0,2,0,3,crash,16,7,9,0
Kyle Larson,5,Hendrick Motorsports,Chevrolet,2023,30,31,11,0,1,0,99,dvp,16,6,10,1
J.J. Yeley,15,Rick Ware Racing,Ford,2023,30,32,35,0,0,0,2,crash,0,5,0,0
Ty Gibbs,54,Joe Gibbs Racing,Toyota,2023,30,33,4,0,0,0,0,crash,4,4,0,0
Kyle Busch,8,Richard Childress Racing,Chevrolet,2023,30,34,7,0,0,0,0,dvp,3,3,0,0
Todd Gilliland,51,Rick Ware Racing,Ford,2023,30,35,36,0,0,0,0,crash,2,2,0,0
Austin Dillon,3,Richard Childress Racing,Chevrolet,2023,30,36,13,0,0,0,0,crash,1,1,0,0
Ryan Blaney,12,Team Penske,Ford,2023,31,1,10,1,0,0,8,running,50,40,10,6
William Byron,24,Hendrick Motorsports,Chevrolet,2023,31,2,8,2,2,0,12,running,53,35,18,0
Denny Hamlin,11,Joe Gibbs Racing,Toyota,2023,31,3,12,0,0,0,3,running,34,34,0,0
Corey LaJoie,7,Spire Motorsports,Chevrolet,2023,31,4,36,10,0,0,0,running,34,33,1,0
Austin Cindric,2,Team Penske,Ford,2023,31,5,7,6,0,0,15,running,37,32,5,0
Justin Haley,31,Kaulig Racing,Chevrolet,2023,31,6,30,7,0,0,1,running,35,31,4,0
Chase Elliott,9,Hendrick Motorsports,Chevrolet,2023,31,7,23,4,5,0,8,running,43,30,13,0
Ryan Preece,41,Stewart-Haas Racing,Ford,2023,31,8,19,9,0,0,8,running,31,29,2,0
Riley Herbst,36,Front Row Motorsports,Ford,2023,31,9,6,0,0,0,10,running,0,28,0,0
Daniel Suarez,99,Trackhouse Racing,Chevrolet,2023,31,10,28,0,6,0,0,running,32,27,5,0
Chandler Smith,13,Kaulig Racing,Chevrolet,2023,31,11,34,0,0,0,0,running,0,26,0,0
Todd Gilliland,38,Front Row Motorsports,Ford,2023,31,12,17,0,0,0,0,running,25,25,0,0
Chase Briscoe,14,Stewart-Haas Racing,Ford,2023,31,13,3,0,8,0,0,running,27,24,3,0
Christopher Bell,20,Joe Gibbs Racing,Toyota,2023,31,14,15,0,0,0,2,running,23,23,0,0
Kyle Larson,5,Hendrick Motorsports,Chevrolet,2023,31,15,4,3,7,0,1,running,34,22,12,0
Tyler Reddick,45,23XI Racing,Toyota,2023,31,16,13,0,10,0,2,running,22,21,1,0
Aric Almirola,10,Stewart-Haas Racing,Ford,2023,31,17,1,0,0,0,7,running,20,20,0,0
Martin Truex Jr,19,Joe Gibbs Racing,Toyota,2023,31,18,16,0,0,0,0,running,19,19,0,0
Chris Buescher,17,RFK Racing,Ford,2023,31,19,24,0,0,0,3,running,18,18,0,0
A.J. Allmendinger,16,Kaulig Racing,Chevrolet,2023,31,20,31,0,0,0,0,running,17,17,0,0
Michael McDowell,34,Front Row Motorsports,Ford,2023,31,21,18,0,0,0,5,running,16,16,0,0
Ricky Stenhouse Jr,47,JTG Daugherty Racing,Chevrolet,2023,31,22,35,0,0,0,14,running,15,15,0,0
Bubba Wallace,23,23XI Racing,Toyota,2023,31,23,9,0,0,0,3,running,14,14,0,0
Joey Logano,22,Team Penske,Ford,2023,31,24,2,8,3,0,48,running,24,13,11,0
Kyle Busch,8,Richard Childress Racing,Chevrolet,2023,31,25,25,0,0,0,2,running,12,12,0,0
Erik Jones,43,Legacy Motor Club,Chevrolet,2023,31,26,26,0,0,0,4,running,11,11,0,0
Ty Dillon,77,Spire Motorsports,Chevrolet,2023,31,27,33,0,9,0,2,running,12,10,2,0
Alex Bowman,48,Hendrick Motorsports,Chevrolet,2023,31,28,20,5,0,0,13,running,15,9,6,0
B.J. McLeod,78,Live Fast Motorsports,Chevrolet,2023,31,29,37,0,0,0,0,running,0,8,0,0
Brennan Poole,15,Rick Ware Racing,Ford,2023,31,30,29,0,0,0,0,running,0,7,0,0
Harrison Burton,21,Wood Brothers Racing,Ford,2023,31,31,21,0,0,0,0,suspension,6,6,0,0
Brad Keselowski,6,RFK Racing,Ford,2023,31,32,5,0,1,0,5,crash,15,5,10,1
Austin Dillon,3,Richard Childress Racing,Chevrolet,2023,31,33,14,0,4,0,1,crash,11,4,7,0
Ty Gibbs,54,Joe Gibbs Racing,Toyota,2023,31,34,22,0,0,0,0,crash,3,3,0,0
Carson Hocevar,42,Legacy Motor Club,Chevrolet,2023,31,35,38,0,0,0,0,crash,0,2,0,0
J.J. Yeley,51,Rick Ware Racing,Ford,2023,31,36,27,0,0,0,0,fuel pump,0,1,0,0
Ross Chastain,1,Trackhouse Racing,Chevrolet,2023,31,37,32,0,0,0,0,crash,1,1,0,0
Kevin Harvick,4,Stewart-Haas Racing,Ford,2023,31,38,11,0,0,0,11,running,1,1,0,0
A.J. Allmendinger,16,Kaulig Racing,Chevrolet,2023,32,1,6,10,0,0,46,running,41,40,1,5
William Byron,24,Hendrick Motorsports,Chevrolet,2023,32,2,14,0,0,0,0,running,35,35,0,0
Kyle Busch,8,Richard Childress Racing,Chevrolet,2023,32,3,5,8,10,0,6,running,38,34,4,0
Ty Gibbs,54,Joe Gibbs Racing,Toyota,2023,32,4,10,9,0,0,0,running,35,33,2,0
Joey Logano,22,Team Penske,Ford,2023,32,5,7,0,0,0,0,running,32,32,0,0
Tyler Reddick,45,23XI Racing,Toyota,2023,32,6,1,1,4,0,27,running,48,31,17,1
Chris Buescher,17,RFK Racing,Ford,2023,32,7,20,0,0,0,0,running,30,30,0,0
Alex Bowman,48,Hendrick Motorsports,Chevrolet,2023,32,8,16,0,0,0,0,running,29,29,0,0
Chase Elliott,9,Hendrick Motorsports,Chevrolet,2023,32,9,8,7,1,0,15,running,42,28,14,1
Ross Chastain,1,Trackhouse Racing,Chevrolet,2023,32,10,12,3,6,0,0,running,40,27,13,0
Ryan Preece,41,Stewart-Haas Racing,Ford,2023,32,11,18,0,0,0,0,running,26,26,0,0
Ryan Blaney,12,Team Penske,Ford,2023,32,12,17,0,0,0,6,running,25,25,0,0
Kyle Larson,5,Hendrick Motorsports,Chevrolet,2023,32,13,36,0,5,0,0,running,30,24,6,0
Austin Dillon,3,Richard Childress Racing,Chevrolet,2023,32,14,15,0,0,0,0,running,23,23,0,0
Christopher Bell,20,Joe Gibbs Racing,Toyota,2023,32,15,2,5,2,0,9,running,37,22,15,0
Bubba Wallace,23,23XI Racing,Toyota,2023,32,16,4,2,7,0,0,running,34,21,13,0
Corey LaJoie,7,Spire Motorsports,Chevrolet,2023,32,17,24,0,0,0,0,running,20,20,0,0
Brad Keselowski,6,RFK Racing,Ford,2023,32,18,19,0,0,0,0,running,19,19,0,0
Kevin Harvick,4,Stewart-Haas Racing,Ford,2023,32,19,22,0,0,0,0,running,18,18,0,0
Martin Truex Jr,19,Joe Gibbs Racing,Toyota,2023,32,20,11,4,8,0,0,running,27,17,10,0
Aric Almirola,10,Stewart-Haas Racing,Ford,2023,32,21,21,0,0,0,0,running,16,16,0,0
Justin Haley,31,Kaulig Racing,Chevrolet,2023,32,22,25,0,0,0,0,running,15,15,0,0
Todd Gilliland,51,Rick Ware Racing,Ford,2023,32,23,32,0,0,0,0,running,14,14,0,0
Harrison Burton,21,Wood Brothers Racing,Ford,2023,32,24,31,0,0,0,0,running,13,13,0,0
Austin Cindric,2,Team Penske,Ford,2023,32,25,29,0,0,0,0,running,12,12,0,0
Josh Bilicki,78,Live Fast Motorsports,Chevrolet,2023,32,26,28,0,0,0,0,running,0,11,0,0
Austin Hill,62,Beard Motorsports,Chevrolet,2023,32,27,33,0,0,0,0,running,0,10,0,0
Chase Briscoe,14,Stewart-Haas Racing,Ford,2023,32,28,30,0,0,0,0,running,9,9,0,0
Mike Rockenfeller,42,Legacy Motor Club,Chevrolet,2023,32,29,26,0,0,0,0,running,8,8,0,0
Zane Smith,38,Front Row Motorsports,Ford,2023,32,30,34,0,0,0,0,running,0,7,0,0
Ty Dillon,77,Spire Motorsports,Chevrolet,2023,32,31,37,0,0,0,0,running,6,6,0,0
Michael McDowell,34,Front Row Motorsports,Ford,2023,32,32,13,0,9,0,0,running,7,5,2,0
Daniel Suarez,99,Trackhouse Racing,Chevrolet,2023,32,33,3,6,0,0,0,running,9,4,5,0
Ricky Stenhouse Jr,47,JTG Daugherty Racing,Chevrolet,2023,32,34,27,0,0,0,0,electrical,3,3,0,0
