driver_name,start_pos,mid_race_pos,finish_pos,highest_pos,lowest_pos,avg_pos,pass_diff,green_flag_passes,green_flag_times_passed,quality_passes,pct_quality_passes,fastest_lap,top_15_laps,pct_top_15_laps,laps_led,pct_laps_led,total_laps,driver_rating,season_year,race_number
Christopher Bell,3,9,6,1,20,7.0,4,62,58,49,79.0,8,289,98.6,3.0,1.0,293,101.8,2022,12
Michael McDowell,16,22,7,6,30,18.0,14,116,102,26,22.4,3,88,30.0,0.0,0.0,293,73.9,2022,12
Ricky Stenhouse Jr,26,16,8,3,30,17.0,12,94,82,25,26.6,4,117,39.9,0.0,0.0,293,75.1,2022,12
Austin Dillon,14,25,9,8,35,21.0,-20,83,103,17,20.5,2,104,35.5,0.0,0.0,293,62.5,2022,12
Daniel Suarez,20,12,10,2,26,12.0,-18,65,83,41,63.1,5,238,81.2,0.0,0.0,293,84.9,2022,12
Aric Almirola,12,13,11,4,26,13.0,2,85,83,32,37.6,0,183,62.5,0.0,0.0,293,77.3,2022,12
Ty Dillon,21,19,12,12,28,19.0,-2,84,86,8,9.5,0,43,14.7,0.0,0.0,293,65.0,2022,12
William Byron,9,8,13,1,22,6.0,-13,49,62,31,63.3,16,284,96.9,24.0,8.2,293,103.1,2022,12
Harrison Burton,25,27,14,1,31,23.0,-17,90,107,8,8.9,1,54,18.4,0.0,0.0,293,55.1,2022,12
Todd Gilliland,27,31,15,4,32,25.0,-13,87,100,13,14.9,3,37,12.6,0.0,0.0,293,50.4,2022,12
Chris Buescher,18,28,16,12,32,21.0,-16,65,81,6,9.2,0,28,9.6,0.0,0.0,293,53.5,2022,12
Ryan Blaney,7,15,17,5,34,14.0,33,100,67,37,37.0,0,192,65.5,0.0,0.0,293,78.8,2022,12
Austin Cindric,19,18,18,1,34,19.0,-13,94,107,26,27.7,12,99,33.8,0.0,0.0,293,66.2,2022,12
Cody Ware,31,33,19,1,35,29.0,-4,39,43,0,0.0,0,3,1.0,1.0,0.3,293,40.3,2022,12
